,fscore,num_signal,2024-07-31 00:00:00,2024-07-30 00:00:00,2024-07-29 00:00:00,2024-07-26 00:00:00,2024-07-23 00:00:00
OECD領先指標(法國六月變動)_bc_ge_median,0.5326354679791118,500,0,0,0,0,0
OECD領先指標(加拿大六月變動)_bc_ge_median,0.4932432432421249,613,0,0,0,0,0
OECD領先指標(整體六月變動)_bc_ge_median,0.4777486910983759,643,0,0,0,0,0
OECD領先指標(英國六月變動)_bc_ge_median,0.456700379265556,479,0,0,0,0,0
OECD領先指標(G7六月變動)_bc_ge_median,0.4537572254323725,553,0,0,0,0,0
OECD領先指標(美國六月變動)_bc_ge_median,0.44890300230831587,554,0,0,0,0,0
OECD領先指標(希臘六月變動)_bc_ge_median,0.41801948051822996,304,0,0,0,0,0
OECD領先指標(歐洲六月變動)_bc_ge_median,0.40686735653706246,751,0,0,0,0,0
OECD領先指標(芬蘭六月變動)_bc_ge_median,0.4034028540054596,599,0,0,0,0,0
台灣景氣對策分數_bc_ge_median,0.3990532804925821,1959,1,1,1,1,1
subindex_other,0.3755364806861995,2484,1,1,1,1,1
